Lamp,Background ,Distance,Replicate,Duration,Desiccation,Ratio,Airtemp,Humidity,Startingweight
Ceramic,White,20cm,2,12,0.0056652,1.069264069,26.4,0.43,31.36
Ceramic,White,20cm,3,15,0.0053746,1.636363636,26.7,0.42,35.3
Ceramic,White,20cm,4,14,0.0058661,1.271771772,26.1,0.415,33.15
Ceramic,White,20cm,5,13,0.0046752,1.199417758,25.9,0.485,33.36
Ceramic,White,20cm,6,13,0.0047594,1.483260553,26.7,0.48,33.07
Ceramic,White,20cm,7,14,0.0072164,1.497126437,27.5,0.405,31.97
Ceramic,White,20cm,8,14,0.0076466,1.441997063,26.9,0.4,31.68
Ceramic,White,20cm,9,15,0.006846,1.311111111,26.2,0.365,31.95
Ceramic,White,20cm,10,13,0.0047979,1.463040446,26.5,0.44,30.88
Ceramic,White,30cm,1,30,0.0037262,1.666666667,22.4,0.5,33.01
Ceramic,White,30cm,2,27,0.0043691,1.25436409,23,0.49,30.16
Ceramic,White,30cm,3,24,0.0038896,0.86407767,22.8,0.53,30.9
Ceramic,White,30cm,4,23,0.0040738,1.026624902,23.5,0.51,32.92
Ceramic,White,30cm,5,30,0.0060372,0.948717949,22.3,0.5,31.53
Ceramic,White,30cm,6,30,0.0038293,1.53125,22.5,0.475,34.72
Ceramic,White,30cm,7,24,0.0028162,1.104265403,23.6,0.535,34.44
Ceramic,White,30cm,8,26,0.0038146,1.072487644,23.8,0.485,32.2
Ceramic,White,30cm,9,25,0.0048356,1.183266932,24.3,0.42,32.18
Ceramic,White,30cm,10,26,0.0058119,0.578253707,24.2,0.39,31.93
